Fighter,date,H_odds,A_odds
Stipe Miocic,8/15/20,-110,-110
Daniel Cormier,8/15/20,-110,-110
Sean O'Malley,8/15/20,-275,235
Marlon Vera,8/15/20,235,-275
Junior Dos Santos,8/15/20,120,-140
Jairzinho Rozenstruik,8/15/20,-140,120
Herbert Burns,8/15/20,-260,220
Daniel Pineda,8/15/20,220,-260
John Dodson,8/15/20,235,-275
Merab Dvalishvili,8/15/20,-275,235
Jim Miller,8/15/20,102,-122
Vinc Pichel,8/15/20,-122,102
Felice Herrig,8/15/20,255,-295
Virna Jandiroba,8/15/20,-295,255
TJ Brown,8/15/20,-145,125
Danny Chavez,8/15/20,125,-145
Ashley Yoder,8/15/20,170,-195
Livinha Souza,8/15/20,-195,170
Chris Daukaus,8/15/20,-123,103
Parker Porter,8/15/20,103,-123
Kai Kamaka,8/15/20,-260,220
Tony Kelley,8/15/20,220,-260
