R_fighter;B_fighter;R_KD;B_KD;R_SIG_STR.;B_SIG_STR.;R_SIG_STR_pct;B_SIG_STR_pct;R_TOTAL_STR.;B_TOTAL_STR.;R_TD;B_TD;R_TD_pct;B_TD_pct;R_SUB_ATT;B_SUB_ATT;R_PASS;B_PASS;R_REV;B_REV;R_HEAD;B_HEAD;R_BODY;B_BODY;R_LEG;B_LEG;R_DISTANCE;B_DISTANCE;R_CLINCH;B_CLINCH;R_GROUND;B_GROUND;win_by;last_round;last_round_time;Format;Referee;date;location;Fight_type;Winner
Stipe Miocic;Daniel Cormier;1;0;115 of 187;105 of 183;61%;57%;171 of 244;145 of 223;0 of 6;1 of 2;0%;50%;0;0;0;0;0;0;67 of 136;70 of 132;31 of 34;11 of 24;17 of 17;24 of 27;101 of 169;95 of 171;14 of 18;10 of 12;0 of 0;0 of 0;Decision - Unanimous;5;5:00;5 Rnd (5-5-5-5-5);Marc Goddard;August 15, 2020;Las Vegas, Nevada, USA;UFC Heavyweight Title Bout;Stipe Miocic
Sean O'Malley;Marlon Vera;0;0;10 of 21;18 of 30;47%;60%;10 of 21;18 of 30;0 of 0;0 of 0;0%;0%;0;0;0;0;0;0;3 of 12;5 of 10;4 of 6;4 of 10;3 of 3;9 of 10;10 of 21;11 of 22;0 of 0;0 of 0;0 of 0;7 of 8;KO/TKO;1;4:40;3 Rnd (5-5-5);Herb Dean;August 15, 2020;Las Vegas, Nevada, USA;Bantamweight Bout;Marlon Vera
Junior Dos Santos;Jairzinho Rozenstruik;0;1;24 of 44;42 of 66;54%;63%;24 of 44;42 of 66;0 of 0;0 of 0;0%;0%;0;0;0;0;0;0;6 of 22;21 of 41;13 of 15;1 of 2;5 of 7;20 of 23;24 of 44;30 of 49;0 of 0;0 of 0;0 of 0;12 of 17;KO/TKO;2;3:47;3 Rnd (5-5-5);Dan Miragliotta;August 15, 2020;Las Vegas, Nevada, USA;Heavyweight Bout;Jairzinho Rozenstruik
Herbert Burns;Daniel Pineda;0;0;10 of 22;57 of 75;45%;76%;35 of 48;173 of 205;3 of 4;1 of 2;75%;50%;0;0;4;4;0;1;6 of 15;50 of 65;2 of 5;4 of 7;2 of 2;3 of 3;5 of 15;8 of 13;1 of 2;1 of 1;4 of 5;48 of 61;KO/TKO;2;4:37;3 Rnd (5-5-5);Mark Smith;August 15, 2020;Las Vegas, Nevada, USA;Featherweight Bout;Daniel Pineda
John Dodson;Merab Dvalishvili;0;0;27 of 86;50 of 133;31%;37%;31 of 90;88 of 171;0 of 0;2 of 20;0%;10%;0;0;0;0;0;0;11 of 63;16 of 94;9 of 16;4 of 9;7 of 7;30 of 30;26 of 83;25 of 108;1 of 3;25 of 25;0 of 0;0 of 0;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Chris Tognoni;August 15, 2020;Las Vegas, Nevada, USA;Bantamweight Bout;Merab Dvalishvili
Jim Miller;Vinc Pichel;0;0;14 of 39;41 of 78;35%;52%;26 of 57;84 of 124;2 of 2;3 of 5;100%;60%;2;0;2;6;1;0;6 of 30;27 of 64;5 of 6;11 of 11;3 of 3;3 of 3;7 of 27;15 of 35;4 of 6;9 of 11;3 of 6;17 of 32;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Herb Dean;August 15, 2020;Las Vegas, Nevada, USA;Lightweight Bout;Vinc Pichel
Felice Herrig;Virna Jandiroba;0;0;1 of 1;4 of 5;100%;80%;3 of 3;12 of 15;0 of 0;1 of 1;0%;100%;0;2;0;3;0;0;0 of 0;4 of 5;0 of 0;0 of 0;1 of 1;0 of 0;1 of 1;0 of 0;0 of 0;0 of 0;0 of 0;4 of 5;Submission;1;1:44;3 Rnd (5-5-5);Marc Goddard;August 15, 2020;Las Vegas, Nevada, USA;Women's Strawweight Bout;Virna Jandiroba
TJ Brown;Danny Chavez;0;0;43 of 139;49 of 110;30%;44%;59 of 156;52 of 113;0 of 6;4 of 4;0%;100%;0;0;0;2;0;0;25 of 103;23 of 81;12 of 24;8 of 9;6 of 12;18 of 20;38 of 132;40 of 97;5 of 7;0 of 0;0 of 0;9 of 13;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Dan Miragliotta;August 15, 2020;Las Vegas, Nevada, USA;Featherweight Bout;Danny Chavez
Ashley Yoder;Livinha Souza;0;0;32 of 114;46 of 70;28%;65%;89 of 176;70 of 95;0 of 1;1 of 4;0%;25%;0;0;0;0;0;0;23 of 92;15 of 33;6 of 14;8 of 11;3 of 8;23 of 26;32 of 112;36 of 55;0 of 2;5 of 7;0 of 0;5 of 8;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Mark Smith;August 15, 2020;Las Vegas, Nevada, USA;Women's Strawweight Bout;Livinha Souza
Chris Daukaus;Parker Porter;2;0;37 of 59;17 of 52;62%;32%;45 of 67;18 of 53;0 of 0;0 of 0;0%;0%;0;0;0;0;0;0;29 of 49;12 of 44;4 of 6;1 of 4;4 of 4;4 of 4;29 of 50;14 of 47;6 of 7;3 of 5;2 of 2;0 of 0;KO/TKO;1;4:28;3 Rnd (5-5-5);Herb Dean;August 15, 2020;Las Vegas, Nevada, USA;Heavyweight Bout;Chris Daukaus
