Fighter,date,H_odds,A_odds
Jason Brilz,2010-03-21,-160.0,140.0
Julio Paulino,2010-03-21,335.0,-420.0
Brandon Vera,2010-03-21,215.0,-235.0
Junior Dos Santos,2010-03-21,-250.0,230.0
Cheick Kongo,2010-03-21,-345.0,315.0
Alessio Sakara,2010-03-21,-120.0,100.0
Clay Guida,2010-03-21,-420.0,335.0
Eliot Marshall,2010-03-21,145.0,-165.0
Duane Ludwig,2010-03-21,-155.0,135.0
John Howard,2010-03-21,-210.0,175.0
Brendan Schaub,2010-03-21,-260.0,220.0
Mike Pierce,2010-03-21,-420.0,335.0
Eric Schafer,2010-03-21,140.0,-160.0
James Irvin,2010-03-21,100.0,-120.0
Chase Gormley,2010-03-21,220.0,-260.0
Daniel Roberts,2010-03-21,175.0,-210.0
Jon Jones,2010-03-21,-235.0,215.0
Gabriel Gonzaga,2010-03-21,230.0,-250.0
Paul Buentello,2010-03-21,315.0,-345.0
Darren Elkins,2010-03-21,135.0,-155.0
Shannon Gugerty,2010-03-21,335.0,-420.0
Vladimir Matyushenko,2010-03-21,-165.0,145.0
Kurt Pellegrino,2010-03-27,-210.0,190.0
Ben Saunders,2010-03-27,295.0,-325.0
Jim Miller,2010-03-27,-320.0,290.0
Nate Diaz,2010-03-27,-235.0,195.0
Ricardo Almeida,2010-03-27,-185.0,160.0
Rousimar Palhares,2010-03-27,-220.0,180.0
Rodney Wallace,2010-03-27,-160.0,140.0
Matt Brown,2010-03-27,160.0,-185.0
Greg Soto,2010-03-27,190.0,-230.0
Jared Hamman,2010-03-27,140.0,-160.0
Frank Mir,2010-03-27,-150.0,140.0
Dan Hardy,2010-03-27,550.0,-650.0
Shane Carwin,2010-03-27,140.0,-150.0
Fabricio Camoes,2010-03-27,190.0,-210.0
Jon Fitch,2010-03-27,-325.0,295.0
Mark Bocek,2010-03-27,290.0,-320.0
Rory Markham,2010-03-27,195.0,-235.0
Tomasz Drwal,2010-03-27,180.0,-220.0
Georges St-Pierre,2010-03-27,-650.0,550.0
Matthew Riddle,2010-03-27,-230.0,190.0
Jason High,2010-03-31,-205.0,173.0
Dennis Siver,2010-03-31,180.0,-220.0
Rafaello Oliveira,2010-03-31,165.0,-190.0
Ronys Torres,2010-03-31,-230.0,190.0
Nik Lentz,2010-03-31,-150.0,130.0
Gleison Tibau,2010-03-31,-330.0,270.0
Lucio Linhares,2010-03-31,475.0,-650.0
Mario Miranda,2010-03-31,135.0,-155.0
Gerald Harris,2010-03-31,-155.0,135.0
Yushin Okami,2010-03-31,-650.0,475.0
Caol Uno,2010-03-31,270.0,-330.0
Rob Emerson,2010-03-31,130.0,-150.0
Jacob Volkmann,2010-03-31,190.0,-230.0
Andre Winner,2010-03-31,-190.0,165.0
Ross Pearson,2010-03-31,-220.0,180.0
Nate Quarry,2010-03-31,-230.0,190.0
Roy Nelson,2010-03-31,-350.0,290.0
Kenny Florian,2010-03-31,-360.0,300.0
Jorge Rivera,2010-03-31,190.0,-230.0
Stefan Struve,2010-03-31,290.0,-350.0
Charlie Brenneman,2010-03-31,173.0,-205.0
Takanori Gomi,2010-03-31,300.0,-360.0
Mostapha Al-Turk,2010-04-10,205.0,-245.0
Terry Etim,2010-04-10,-135.0,125.0
Kendall Grove,2010-04-10,160.0,-170.0
Alexander Gustafsson,2010-04-10,350.0,-440.0
Nick Osipczak,2010-04-10,145.0,-165.0
DaMarques Johnson,2010-04-10,140.0,-160.0
Paul Kelly,2010-04-10,220.0,-260.0
Jon Madsen,2010-04-10,-245.0,205.0
Anderson Silva,2010-04-10,-675.0,550.0
Matt Hughes,2010-04-10,-380.0,340.0
BJ Penn,2010-04-10,-780.0,620.0
Frankie Edgar,2010-04-10,620.0,-780.0
Matt Veach,2010-04-10,-260.0,220.0
Brad Blackburn,2010-04-10,-160.0,140.0
Rick Story,2010-04-10,-165.0,145.0
Phil Davis,2010-04-10,-440.0,350.0
Mark Munoz,2010-04-10,-170.0,160.0
Rafael Dos Anjos,2010-04-10,125.0,-135.0
Renzo Gracie,2010-04-10,340.0,-380.0
Demian Maia,2010-04-10,550.0,-675.0
Patrick Cote,2010-05-08,107.0,-117.0
Jason MacDonald,2010-05-08,-175.0,155.0
Yoshiyuki Yoshida,2010-05-08,-255.0,215.0
Joey Beltran,2010-05-08,190.0,-230.0
TJ Grant,2010-05-08,325.0,-400.0
Kevin Ferguson,2010-05-08,-103.0,-107.0
Tom Lawlor,2010-05-08,-600.0,450.0
Sam Stout,2010-05-08,-190.0,175.0
Marcus Davis,2010-05-08,-440.0,350.0
Alan Belcher,2010-05-08,-117.0,107.0
Jeremy Stephens,2010-05-08,175.0,-190.0
Paul Daley,2010-05-08,230.0,-250.0
Mauricio Rua,2010-05-08,175.0,-190.0
Johny Hendricks,2010-05-08,-400.0,325.0
Tim Hague,2010-05-08,-230.0,190.0
Mike Guymon,2010-05-08,215.0,-255.0
John Salter,2010-05-08,155.0,-175.0
Josh Koscheck,2010-05-08,-250.0,230.0
Joe Doerksen,2010-05-08,450.0,-600.0
Matt Mitrione,2010-05-08,-107.0,-103.0
Lyoto Machida,2010-05-08,-190.0,175.0
Jonathan Goulet,2010-05-08,350.0,-440.0
Jesse Forbes,2010-05-29,-150.0,130.0
Rashad Evans,2010-05-29,-101.0,-109.0
Dan Miller,2010-05-29,180.0,-195.0
Mike Russow,2010-05-29,250.0,-275.0
Rogerio Nogueira,2010-05-29,-500.0,435.0
John Hathaway,2010-05-29,195.0,-215.0
Dong Hyun Kim,2010-05-29,-110.0,100.0
Dan Lauzon,2010-05-29,355.0,-400.0
Waylon Lowe,2010-05-29,310.0,-370.0
Cyrille Diabate,2010-05-29,255.0,-310.0
Joe Brammer,2010-05-29,170.0,-200.0
Ryan Jensen,2010-05-29,130.0,-150.0
Aaron Riley,2010-05-29,-200.0,170.0
Luiz Cane,2010-05-29,-310.0,255.0
Melvin Guillard,2010-05-29,-370.0,310.0
Efrain Escudero,2010-05-29,-400.0,355.0
Amir Sadollah,2010-05-29,100.0,-110.0
Jason Brilz,2010-05-29,435.0,-500.0
Todd Duffee,2010-05-29,-275.0,250.0
Michael Bisping,2010-05-29,-195.0,180.0
Rampage Jackson,2010-05-29,-109.0,-101.0
Diego Sanchez,2010-05-29,-215.0,195.0
Jesse Lennox,2010-06-12,-130.0,110.0
Chuck Liddell,2010-06-12,-119.0,109.0
Mirko Cro Cop,2010-06-12,163.0,-173.0
Paulo Thiago,2010-06-12,-218.0,198.0
Ben Rothwell,2010-06-12,170.0,-185.0
Carlos Condit,2010-06-12,118.0,-128.0
David Loiseau,2010-06-12,205.0,-245.0
Mac Danzig,2010-06-12,-102.0,-108.0
James Wilks,2010-06-12,-325.0,265.0
Mario Miranda,2010-06-12,-245.0,205.0
Ricardo Funch,2010-06-12,215.0,-255.0
Mike Pyle,2010-06-12,110.0,-130.0
Tyson Griffin,2010-06-12,-180.0,168.0
Claude Patrick,2010-06-12,-255.0,215.0
Peter Sobotta,2010-06-12,265.0,-325.0
Gilbert Yvel,2010-06-12,-185.0,170.0
Rich Franklin,2010-06-12,109.0,-119.0
Pat Barry,2010-06-12,-173.0,163.0
Martin Kampmann,2010-06-12,198.0,-218.0
Rory MacDonald,2010-06-12,-128.0,118.0
Matt Wiman,2010-06-12,-108.0,-102.0
